City,Country,Date,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness
Hermanus,ZA,1640605066,-34.4187,19.2345,22.17,74,8.64,100
Saint Paul Harbor,US,1640605067,57.79,-152.4072,4.86,84,4.85,69
Avarua,CK,1640604893,-21.2078,-159.775,23.03,78,1.03,53
Port Alfred,ZA,1640605067,-33.5906,26.891,23.0,82,6.18,91
Yellowknife,CA,1640605068,62.456,-114.3525,-30.33,94,4.63,90
Cap Malheureux,MU,1640605068,-19.9842,57.6142,27.27,84,3.13,63
Auki,SB,1640605069,-8.7676,160.7034,26.76,87,3.15,99
Albany,US,1640605069,42.6001,-73.9662,-1.78,77,1.34,38
Rikitea,PF,1640605070,-23.1203,-134.9692,22.97,95,11.79,100
Provideniya,RU,1640605070,64.3833,-173.3,-16.81,81,5.14,97
Butaritari,KI,1640605071,3.0707,172.7902,27.48,78,4.7,44
Bluff,NZ,1640605072,-46.6,168.3333,12.11,70,3.39,91
Hofn,IS,1640605073,64.2539,-15.2082,0.01,59,10.8,20
Ayan,RU,1640605074,56.45,138.1667,-27.95,72,5.77,10
Vaini,TO,1640605074,-21.2,-175.2,24.09,94,0.0,75
Ushuaia,AR,1640605075,-54.8,-68.3,5.81,87,8.75,90
Sobolevo,RU,1640605075,54.4299,31.8996,-7.48,92,4.27,51
Fairbanks,US,1640605076,64.8378,-147.7164,3.98,92,3.58,90
Klaksvík,FO,1640605076,62.2266,-6.589,5.51,93,11.38,100
Mataura,NZ,1640605077,-46.1927,168.8643,11.93,94,0.75,97
Port Moresby,PG,1640605077,-9.4431,147.1797,26.68,78,2.57,75
Lorengau,PG,1640605078,-2.0226,147.2712,28.39,77,4.08,98
Kahului,US,1640605078,20.8947,-156.47,22.01,67,4.63,1
Deputatsky,RU,1640605079,69.3,139.9,-33.21,98,2.27,98
Ucluelet,CA,1640605079,48.9329,-125.5528,-7.33,43,2.67,2
Kaitangata,NZ,1640605080,-46.2817,169.8464,9.65,94,1.88,100
Chui,UY,1640605080,-33.6971,-53.4616,22.35,53,2.56,0
Chilca,PE,1640605080,-12.5211,-76.7372,20.09,90,2.42,90
Acapulco de Juárez,MX,1640605081,16.8634,-99.8901,22.9,88,2.06,40
Honiara,SB,1640604838,-9.4333,159.95,26.89,86,1.33,100
Salalah,OM,1640605082,17.0151,54.0924,26.05,61,4.63,0
Hithadhoo,MV,1640605082,-0.6,73.0833,28.08,67,5.27,26
Busselton,AU,1640604830,-33.65,115.3333,27.78,35,3.85,24
Pombia,IT,1640605083,45.653,8.6336,8.52,90,1.54,90
Atuona,PF,1640605084,-9.8,-139.0333,25.77,76,6.87,37
Coquimbo,CL,1640604823,-29.9533,-71.3436,16.85,88,1.03,90
Bengkulu,ID,1640605085,-3.8004,102.2655,25.86,86,2.02,70
Nanortalik,GL,1640605085,60.1432,-45.2371,-2.3,70,1.67,75
Thompson,CA,1640605086,55.7435,-97.8558,-28.91,76,2.57,90
Bethel,US,1640605087,41.3712,-73.414,0.32,72,0.45,1
Cherskiy,RU,1640605087,68.75,161.3,-38.42,100,2.27,100
Bredasdorp,ZA,1640605088,-34.5322,20.0403,22.62,68,3.09,100
Ponta do Sol,PT,1640605088,32.6667,-17.1,21.51,83,2.28,94
Bonavista,CA,1640605089,48.6499,-53.1147,2.29,96,14.22,100
Lebu,CL,1640605089,-37.6167,-73.65,15.89,81,6.37,28
Hobart,AU,1640604929,-42.8794,147.3294,12.92,78,0.45,20
Calama,CL,1640605090,-22.4667,-68.9333,17.96,28,1.88,4
Murray Bridge,AU,1640604856,-35.1167,139.2667,18.16,47,5.19,0
Preston,GB,1640605091,53.7667,-2.7167,7.8,91,3.35,97
Puerto Ayora,EC,1640605092,-0.7393,-90.3518,20.66,88,3.29,100
Longyearbyen,SJ,1640605092,78.2186,15.6401,-10.09,67,5.66,0
